Unique_Key,Created_Date,Closed_Date,Agency,Complaint_Type,Descriptor,Borough,Incident_Zip,Status,Open_Data_Channel_Type
63591857,2025-01-01T17:36:02.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,QUEENS,11418.0,In Progress,MOBILE
63591861,2025-01-01T16:58:07.000,,TLC,For Hire Vehicle Report,Driver Report - Passenger,BROOKLYN,11219.0,In Progress,PHONE
63591997,2025-01-01T19:10:58.000,,DPR,Damaged Tree,Entire Tree Has Fallen Down,BROOKLYN,11208.0,In Progress,MOBILE
63592375,2025-01-01T09:12:00.000,,DOT,Street Light Condition,Street Light Out,QUEENS,11436.0,Assigned,UNKNOWN
63593080,2025-01-01T13:34:48.000,,DSNY,Lot Condition,Trash,BROOKLYN,11204.0,In Progress,PHONE
63593132,2025-01-01T15:02:00.000,,DEP,Sewer,Manhole Cover Missing (Emergency) (SA3),BROOKLYN,11229.0,Started,ONLINE
63593137,2025-01-01T11:06:01.000,2025-01-02T07:50:00.000,DOT,Street Condition,Pothole,MANHATTAN,10025.0,Pending,UNKNOWN
63593251,2025-01-01T11:04:33.000,,DOHMH,Food Poisoning,1 or 2,MANHATTAN,10013.0,In Progress,ONLINE
63593662,2025-01-01T17:24:07.000,,DOHMH,Indoor Air Quality,Sewage Odor,BRONX,10455.0,In Progress,ONLINE
63594116,2025-01-01T13:05:06.000,,DPR,Wood Pile Remaining,Remove Debris,BROOKLYN,11220.0,In Progress,ONLINE
63594130,2025-01-01T02:03:36.000,,DOHMH,Construction Lead Dust,Common Areas and Apartment,BRONX,10457.0,In Progress,PHONE
63594199,2025-01-01T13:53:59.000,2025-02-19T00:00:00.000,DOB,General Construction/Plumbing,Wall/Retaining Wall - Bulging/Cracked,BROOKLYN,11223.0,Assigned,UNKNOWN
63594307,2025-01-01T06:21:00.000,,DSNY,Dirty Condition,Trash,STATEN ISLAND,10309.0,In Progress,ONLINE
63594549,2025-01-01T18:50:05.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,BROOKLYN,11208.0,In Progress,PHONE
63594580,2025-01-01T13:03:14.000,,DOHMH,Food Poisoning,1 or 2,BROOKLYN,11213.0,In Progress,PHONE
63594582,2025-01-01T17:09:25.000,,TLC,Taxi Complaint,Driver Complaint - Passenger,QUEENS,11369.0,In Progress,PHONE
63595386,2025-01-01T17:04:00.000,,TLC,Taxi Report,Driver Report - Passenger,QUEENS,11369.0,In Progress,PHONE
63595499,2025-01-01T20:27:00.000,,DOT,Street Light Condition,Street Light Out,QUEENS,11364.0,Assigned,UNKNOWN
63595514,2025-01-01T16:27:40.000,,DOT,Street Condition,Pothole,MANHATTAN,10014.0,Pending,UNKNOWN
63595610,2025-01-02T12:34:12.000,2025-01-02T12:34:12.000,DOB,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,QUEENS,11432.0,Open,UNKNOWN
63595644,2025-01-02T10:26:00.000,,DEP,Water System,Leak (Use Comments) (WA2),QUEENS,11412.0,Started,PHONE
63595649,2025-01-02T11:27:51.000,,DPR,Overgrown Tree/Branches,Dead Branches in Tree,BROOKLYN,11234.0,In Progress,ONLINE
63595887,2025-01-02T20:40:16.000,,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,BRONX,10465.0,In Progress,PHONE
63596032,2025-01-02T12:05:15.000,,DOHMH,Mobile Food Vendor,Equipment,MANHATTAN,10017.0,In Progress,MOBILE
63596102,2025-01-02T15:41:33.000,,DSNY,Lot Condition,Trash,STATEN ISLAND,10301.0,In Progress,PHONE
63596115,2025-01-02T17:37:00.000,,DOT,Street Light Condition,Street Light Out,QUEENS,11104.0,Assigned,UNKNOWN
63596120,2025-01-02T11:38:00.000,,DEP,Water System,Excessive Water In Basement (WEFB),MANHATTAN,10009.0,Started,PHONE
63596155,2025-01-02T15:40:31.000,,DPR,Damaged Tree,Branch Cracked and Will Fall,QUEENS,11361.0,In Progress,ONLINE
63596177,2025-01-02T18:50:47.000,,DOHMH,Food Poisoning,1 or 2,MANHATTAN,10022.0,In Progress,PHONE
63596185,2025-01-02T12:55:25.000,,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,MANHATTAN,10037.0,In Progress,PHONE
63596195,2025-01-02T09:37:28.000,,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,BROOKLYN,11230.0,In Progress,ONLINE
63596935,2025-01-02T23:03:45.000,2025-01-02T23:03:50.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63597014,2025-01-01T14:21:16.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11229.0,Pending,UNKNOWN
63597198,2025-01-02T08:36:40.000,,TLC,Green Taxi Report,Driver Report - Non Passenger,Unspecified,,In Progress,ONLINE
63597360,2025-01-02T18:13:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10468.0,Assigned,UNKNOWN
63597431,2025-01-02T08:02:00.000,,DEP,Sewer,Catch Basin Grating Missing (SA4),STATEN ISLAND,10310.0,Open,PHONE
63597433,2025-01-02T18:08:00.000,,DEP,Sewer,Sewer Odor (SA2),BRONX,10472.0,Open,PHONE
63597442,2025-01-02T11:11:00.000,,DEP,Water System,Leak (Use Comments) (WA2),MANHATTAN,10001.0,Started,ONLINE
63597499,2025-01-02T09:24:42.000,,DOHMH,Construction Lead Dust,Common Areas and Apartment,BROOKLYN,11213.0,In Progress,PHONE
63597740,2025-01-02T13:19:59.000,,DPR,Overgrown Tree/Branches,Hitting Power Lines,BROOKLYN,11210.0,In Progress,ONLINE
63597890,2025-01-01T14:22:55.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11234.0,Pending,UNKNOWN
63597891,2025-01-01T14:18:01.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11229.0,Pending,UNKNOWN
63597896,2025-01-02T14:37:22.000,,DOT,Street Condition,Pothole,STATEN ISLAND,10309.0,Pending,UNKNOWN
63598146,2025-01-02T09:23:00.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,BROOKLYN,11220.0,In Progress,ONLINE
63598170,2025-01-02T15:30:18.000,,DPR,Maintenance or Facility,Grass/Weeds,MANHATTAN,10007.0,In Progress,MOBILE
63599309,2025-01-02T16:29:24.000,,DOHMH,Construction Lead Dust,Common Areas and Apartment,BRONX,10453.0,In Progress,PHONE
63599325,2025-01-02T11:29:37.000,,DOHMH,Construction Lead Dust,Common Areas and Apartment,BROOKLYN,11236.0,In Progress,ONLINE
63599357,2025-01-02T17:55:25.000,,DOHMH,Food Poisoning,1 or 2,QUEENS,11375.0,In Progress,PHONE
63599402,2025-01-02T20:32:22.000,,DOHMH,Food Poisoning,1 or 2,QUEENS,11373.0,In Progress,ONLINE
63599403,2025-01-02T11:34:03.000,,DPR,Overgrown Tree/Branches,Dead Branches in Tree,QUEENS,11358.0,In Progress,PHONE
63599406,2025-01-02T11:18:43.000,2025-03-06T15:34:08.000,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,QUEENS,11363.0,Unspecified,PHONE
63599524,2025-01-01T14:14:25.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11229.0,Pending,UNKNOWN
63599525,2025-01-01T14:11:57.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11223.0,Pending,UNKNOWN
63599531,2025-01-01T14:13:39.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11223.0,Pending,UNKNOWN
63599565,2025-01-01T14:19:02.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11229.0,Pending,UNKNOWN
63599735,2025-01-02T06:20:51.000,,DPR,Overgrown Tree/Branches,Blocking Street,BROOKLYN,11212.0,In Progress,ONLINE
63599946,2025-01-02T12:39:58.000,,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,BROOKLYN,11230.0,In Progress,ONLINE
63599967,2025-01-02T11:48:45.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,BROOKLYN,11219.0,In Progress,PHONE
63600750,2025-01-02T23:25:37.000,2025-01-02T23:25:44.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63601056,2025-01-02T13:30:00.000,,DOT,Street Light Condition,Street Light Out,BROOKLYN,11215.0,Assigned,UNKNOWN
63601189,2025-01-02T13:06:40.000,,DPR,Damaged Tree,Entire Tree Has Fallen Down,STATEN ISLAND,10314.0,In Progress,UNKNOWN
63601192,2025-01-02T12:26:55.000,,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,BROOKLYN,11229.0,In Progress,PHONE
63601214,2025-01-02T11:54:29.000,,DPR,Damaged Tree,Branch Cracked and Will Fall,BROOKLYN,11209.0,In Progress,UNKNOWN
63601368,2025-01-02T19:10:58.000,,HPD,UNSANITARY CONDITION,PESTS,BROOKLYN,11226.0,Open,PHONE
63601369,2025-01-02T18:48:22.000,,DOT,Street Condition,Pothole,QUEENS,11377.0,Pending,UNKNOWN
63601397,2025-01-01T07:00:00.000,,DOT,Street Condition,Wear & Tear,STATEN ISLAND,10309.0,Pending,UNKNOWN
63601398,2025-01-01T14:15:35.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11210.0,Pending,UNKNOWN
63601452,2025-01-02T14:11:00.000,2025-01-04T02:50:00.000,DOT,Traffic Signal Condition,Post,QUEENS,11423.0,Assigned,UNKNOWN
63601499,2025-01-02T09:58:12.000,,DOT,Street Condition,Pothole,MANHATTAN,10007.0,Pending,UNKNOWN
63601500,2025-01-01T14:19:39.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11229.0,Pending,UNKNOWN
63601726,2025-01-02T11:30:12.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,BROOKLYN,11219.0,In Progress,PHONE
63601769,2025-01-02T12:58:33.000,,DOHMH,Construction Lead Dust,Coming into Apartment,BRONX,10452.0,In Progress,PHONE
63602354,2025-01-02T16:33:33.000,,DOHMH,Mobile Food Vendor,Smoke/Odor,MANHATTAN,10022.0,In Progress,MOBILE
63603105,2025-01-02T23:45:42.000,,DOHMH,Unleashed Dog,Unleashed Dog in Public,BRONX,10463.0,In Progress,ONLINE
63603106,2025-01-02T21:39:41.000,,DOHMH,Unleashed Dog,Unleashed Dog in Public,BRONX,10463.0,In Progress,ONLINE
63603165,2025-01-02T16:43:21.000,,DOHMH,Mobile Food Vendor,Food Worker Activity,MANHATTAN,10020.0,In Progress,MOBILE
63603200,2025-01-02T13:16:51.000,2025-01-02T13:16:51.000,DOB,Building/Use,Illegal Conversion Of Residential Building/Space,QUEENS,11419.0,Open,UNKNOWN
63603328,2025-01-02T12:39:52.000,,DPR,Overgrown Tree/Branches,Blocking Street,QUEENS,11361.0,In Progress,ONLINE
63603331,2025-01-02T03:52:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10465.0,Assigned,UNKNOWN
63603417,2025-01-02T23:04:45.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,QUEENS,11367.0,In Progress,PHONE
63603422,2025-01-02T16:03:19.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,BRONX,10455.0,In Progress,PHONE
63603636,2025-01-02T16:56:00.000,,DEP,Water System,Leak (Use Comments) (WA2),BRONX,10471.0,Started,ONLINE
63603639,2025-01-02T12:05:12.000,,DSNY,Residential Disposal Complaint,Waste Set Out Too Early or Too Late,MANHATTAN,10033.0,In Progress,ONLINE
63604158,2025-01-02T23:12:16.000,2025-01-02T23:12:23.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63604228,2025-01-02T23:11:00.000,2025-01-02T23:11:04.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63604289,2025-01-02T22:46:51.000,2025-01-02T22:46:59.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63604563,2025-01-02T18:15:00.000,,TLC,For Hire Vehicle Report,Driver Report - Non Passenger,QUEENS,11369.0,In Progress,PHONE
63604963,2025-01-02T08:35:55.000,,DPR,Damaged Tree,Branch Cracked and Will Fall,QUEENS,11416.0,In Progress,PHONE
63605056,2025-01-02T11:02:43.000,2025-01-02T11:02:43.000,DOB,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,STATEN ISLAND,10308.0,Open,UNKNOWN
63605065,2025-01-02T14:20:34.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11229.0,Pending,UNKNOWN
63605103,2025-01-01T04:20:00.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11235.0,Pending,UNKNOWN
63605212,2025-01-02T13:50:53.000,,DSNY,Lot Condition,Construction Debris,QUEENS,11355.0,In Progress,ONLINE
63605304,2025-01-02T15:07:31.000,,DPR,Overgrown Tree/Branches,Hitting Building,QUEENS,11691.0,In Progress,ONLINE
63605321,2025-01-02T12:29:00.000,,DEP,Water System,Hydrant Leaking (WC1),BRONX,10473.0,Started,ONLINE
63605520,2025-01-02T07:59:58.000,,DOHMH,Tobacco or Non-Tobacco Sale,Banned Tobacco Flavors Sold,BROOKLYN,11230.0,In Progress,ONLINE
63605527,2025-01-02T11:56:20.000,,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,STATEN ISLAND,10314.0,In Progress,PHONE
63605558,2025-01-02T15:16:13.000,2025-01-16T00:00:00.000,DOB,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,BROOKLYN,11215.0,Assigned,UNKNOWN
63606067,2025-01-02T11:29:58.000,,DOHMH,Mobile Food Vendor,Smoke/Odor,MANHATTAN,10022.0,In Progress,MOBILE
63606668,2025-01-02T01:56:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10461.0,Assigned,UNKNOWN
63606763,2025-01-02T10:44:00.000,2025-01-05T09:00:00.000,DEP,Water System,No Water (WNW),BROOKLYN,11213.0,Started,PHONE
63606812,2025-01-02T17:50:53.000,,DSNY,Graffiti,Graffiti,BRONX,10462.0,Open,UNKNOWN
63606874,2025-01-02T12:00:51.000,,DPR,Damaged Tree,Entire Tree Has Fallen Down,STATEN ISLAND,10314.0,In Progress,PHONE
63606884,2025-01-02T21:36:23.000,,DOT,Street Condition,Pothole,MANHATTAN,10014.0,Pending,UNKNOWN
63606900,2025-01-02T13:28:11.000,,DPR,Overgrown Tree/Branches,Dead Branches in Tree,QUEENS,11364.0,In Progress,PHONE
63606992,2025-01-02T16:08:20.000,,DPR,Maintenance or Facility,Recreation Center,BROOKLYN,11211.0,In Progress,ONLINE
63607023,2025-01-01T14:21:52.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11234.0,Pending,UNKNOWN
63607056,2025-01-02T12:44:00.000,,DEP,Water System,Leak (Use Comments) (WA2),BROOKLYN,11209.0,Assigned,PHONE
63607117,2025-01-02T15:15:39.000,,DSNY,Illegal Dumping,Removal Request,QUEENS,11101.0,In Progress,MOBILE
63607177,2025-01-02T14:17:10.000,,DPR,Damaged Tree,Branch Cracked and Will Fall,QUEENS,11420.0,In Progress,PHONE
63607180,2025-01-02T07:16:20.000,,DPR,Overgrown Tree/Branches,Hitting Building,QUEENS,11361.0,In Progress,UNKNOWN
63607193,2025-01-02T19:52:00.000,,DOT,Street Light Condition,Street Light Out,QUEENS,11377.0,Assigned,UNKNOWN
63607659,2025-01-02T12:37:13.000,,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,BROOKLYN,11230.0,In Progress,ONLINE
63607716,2025-01-02T23:03:23.000,2025-01-02T23:03:29.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63607893,2025-01-02T23:07:11.000,2025-01-02T23:07:18.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63608010,2025-01-02T23:04:42.000,2025-01-02T23:04:48.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63608168,2025-01-02T23:18:00.000,2025-01-02T23:18:05.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63608247,2025-01-02T22:44:57.000,2025-01-02T22:45:02.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63608257,2025-01-03T00:18:59.000,2025-01-03T00:19:04.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63608424,2025-01-02T10:23:27.000,,DPR,Maintenance or Facility,Structure - Indoors,QUEENS,11102.0,In Progress,PHONE
63608585,2025-01-02T11:56:39.000,,DPR,Damaged Tree,Entire Tree Has Fallen Down,STATEN ISLAND,10314.0,In Progress,PHONE
63608696,2025-01-02T08:32:00.000,,DEP,Sewer,RAIN GARDEN DEBRIS (GIRGD),QUEENS,11419.0,Open,PHONE
63608703,2025-01-02T10:57:40.000,,DOHMH,Construction Lead Dust,In Common Areas,BRONX,10467.0,In Progress,ONLINE
63608868,2025-01-02T12:56:02.000,,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,MANHATTAN,10037.0,In Progress,PHONE
63609041,2025-01-01T14:16:05.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11210.0,Pending,UNKNOWN
63609042,2025-01-01T14:15:05.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11229.0,Pending,UNKNOWN
63609061,2025-01-01T14:17:15.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11210.0,Pending,UNKNOWN
63609127,2025-01-02T08:53:08.000,,DPR,Damaged Tree,Tree Leaning/Uprooted,QUEENS,11375.0,In Progress,PHONE
63609251,2025-01-02T09:58:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10454.0,Assigned,UNKNOWN
63609252,2025-01-02T09:55:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10465.0,Assigned,UNKNOWN
63609293,2025-01-02T12:24:31.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,BROOKLYN,11236.0,In Progress,PHONE
63609512,2025-01-02T11:50:36.000,,DOHMH,Mobile Food Vendor,Equipment,MANHATTAN,10019.0,In Progress,MOBILE
63609633,2025-01-02T16:21:37.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,BROOKLYN,11219.0,In Progress,PHONE
63610028,2025-01-01T14:22:25.000,,DOT,Street Condition,Wear & Tear,BROOKLYN,11234.0,Pending,UNKNOWN
63610072,2025-01-02T12:59:03.000,,DOHMH,Mobile Food Vendor,Smoke/Odor,MANHATTAN,10019.0,In Progress,MOBILE
63610488,2025-01-02T11:05:24.000,,DPR,Maintenance or Facility,Recreation Center,QUEENS,11355.0,In Progress,ONLINE
63610493,2025-01-01T07:45:59.000,,DOT,Street Condition,Pothole,QUEENS,11378.0,Pending,UNKNOWN
63610545,2025-01-03T11:29:57.000,,DPR,Overgrown Tree/Branches,Hitting Phone/Cable Lines,BROOKLYN,11234.0,In Progress,ONLINE
63610557,2025-01-03T08:40:32.000,,TLC,Taxi Report,Driver Report - Passenger,Unspecified,,In Progress,ONLINE
63610603,2025-01-03T17:51:39.000,,DOHMH,Construction Lead Dust,In Common Areas,BRONX,10458.0,In Progress,ONLINE
63610639,2025-01-03T10:09:10.000,,DOHMH,Animal Facility - No Permit,,MANHATTAN,10021.0,In Progress,ONLINE
63610692,2025-01-03T23:34:34.000,,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,STATEN ISLAND,10312.0,In Progress,ONLINE
63611008,2025-01-03T09:54:56.000,,DSNY,Lot Condition,Trash,QUEENS,11421.0,In Progress,PHONE
63611753,2025-01-03T21:29:00.000,,DEP,Water System,Possible Water Main Break (Use Comments) (WA1),MANHATTAN,10024.0,Assigned,ONLINE
63611780,2025-01-03T06:57:10.000,,DSNY,Graffiti,Graffiti,BROOKLYN,11249.0,Open,UNKNOWN
63612073,2025-01-03T14:23:00.000,2025-04-22T00:00:00.000,DOB,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,QUEENS,11434.0,Assigned,UNKNOWN
63612224,2025-01-03T18:06:10.000,,TLC,For Hire Vehicle Report,Driver Report - Non Passenger,MANHATTAN,10001.0,In Progress,PHONE
63612302,2025-01-03T12:19:54.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,QUEENS,11357.0,In Progress,PHONE
63612501,2025-01-03T23:03:00.000,,DOT,Street Light Condition,Street Light Out,QUEENS,11420.0,Assigned,UNKNOWN
63612902,2025-01-03T22:22:44.000,,HPD,GENERAL,BELL/BUZZER/INTERCOM,BROOKLYN,11216.0,Open,ONLINE
63612910,2025-01-03T22:22:44.000,,HPD,GENERAL,VENTILATION SYSTEM,BROOKLYN,11216.0,Open,ONLINE
63612921,2025-01-03T11:53:28.000,,HPD,GENERAL,COOKING GAS,MANHATTAN,10039.0,Open,PHONE
63613495,2025-01-02T07:00:00.000,,DOT,Street Condition,Wear & Tear,STATEN ISLAND,10306.0,Pending,UNKNOWN
63613529,2025-01-03T09:07:19.000,2025-01-17T00:00:00.000,DOB,Building/Use,Illegal. Commercial Use In Resident Zone,QUEENS,11428.0,Assigned,UNKNOWN
63613625,2025-01-03T13:17:40.000,,DSNY,Illegal Dumping,Removal Request,QUEENS,11358.0,In Progress,MOBILE
63613649,2025-01-03T10:30:19.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,BROOKLYN,11234.0,In Progress,PHONE
63613664,2025-01-03T12:13:19.000,,DPR,Overgrown Tree/Branches,Blocking Street,QUEENS,11385.0,In Progress,ONLINE
63613873,2025-01-03T14:38:07.000,,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,MANHATTAN,10037.0,In Progress,UNKNOWN
63614235,2025-01-03T13:00:58.000,,DSNY,Illegal Dumping,Removal Request,BRONX,10473.0,In Progress,PHONE
63614782,2025-01-03T20:38:00.000,,DEP,Sewer,Defective/Missing Curb Piece (SC4),QUEENS,11377.0,Started,PHONE
63615200,2025-01-03T10:23:27.000,,DOHMH,Unleashed Dog,Unleashed Dog in Public,BRONX,10467.0,In Progress,ONLINE
63615234,2025-01-03T14:06:17.000,,DPR,Overgrown Tree/Branches,Blocking Street,QUEENS,11366.0,In Progress,PHONE
63615333,2025-01-03T11:10:56.000,,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,BROOKLYN,11210.0,In Progress,UNKNOWN
63615336,2025-01-03T15:19:56.000,,DPR,Overgrown Tree/Branches,Dead Branches in Tree,BROOKLYN,11209.0,In Progress,ONLINE
63615339,2025-01-03T12:58:07.000,,DOHMH,Unleashed Dog,Unleashed Dog in Public,BRONX,10469.0,In Progress,PHONE
63615467,2025-01-03T14:55:38.000,,DOHMH,Mobile Food Vendor,Smoke/Odor,MANHATTAN,10019.0,In Progress,MOBILE
63615506,2025-01-03T14:33:00.000,,DOT,Street Light Condition,Street Light Out,QUEENS,11377.0,Assigned,UNKNOWN
63615937,2025-01-03T22:22:44.000,,HPD,FLOORING/STAIRS,FLOOR,BROOKLYN,11216.0,Open,ONLINE
63616332,2025-01-03T13:50:00.000,,DEP,Water System,Possible Water Main Break (Use Comments) (WA1),BROOKLYN,11223.0,Started,PHONE
63616346,2025-01-03T13:50:00.000,,DEP,Water System,Leak (Use Comments) (WA2),BROOKLYN,11213.0,Started,ONLINE
63616873,2025-01-03T17:11:58.000,,TLC,For Hire Vehicle Complaint,Car Service Company Complaint,MANHATTAN,10065.0,Unspecified,PHONE
63617962,2025-01-03T08:44:00.000,,DEP,Water System,Possible Water Main Break (Use Comments) (WA1),BROOKLYN,11210.0,Started,PHONE
63618373,2025-01-03T15:14:00.000,,DOT,Street Light Condition,Street Light Lamp Missing,MANHATTAN,10024.0,Assigned,UNKNOWN
63618379,2025-01-03T14:23:05.000,,DPR,Overgrown Tree/Branches,Hitting Power Lines,BROOKLYN,11210.0,In Progress,PHONE
63618520,2025-01-03T08:18:59.000,,DPR,Damaged Tree,Entire Tree Has Fallen Down,BROOKLYN,11220.0,In Progress,MOBILE
63619010,2025-01-03T22:22:44.000,,HPD,ELECTRIC,OUTLET/SWITCH,BROOKLYN,11216.0,Open,ONLINE
